lambda,lambda_label,gamma,activation_cost_K,case_count,recommend_3arm_count,recommend_2arm_count,recommend_3arm_ratio_percent,mean_final_integrated_score,min_final_integrated_score,max_final_integrated_score,mean_recommended_speed_multiplier,note
1,1,0.5,8,16,16,0,100.0,15.84,8.29,22.19,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,0.5,10,16,16,0,100.0,13.57,6.01,19.91,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,0.5,12,16,16,0,100.0,11.31,3.73,17.63,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,0.5,15,16,16,0,100.0,7.91,0.32,14.22,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,0.5,20,16,10,6,62.5,2.24,-5.37,8.53,1.29,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,0.5,25,16,4,12,25.0,-3.42,-11.07,2.83,1.35,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,1,0,16,16,0,100.0,23.03,14.59,28.78,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,1,2,16,16,0,100.0,20.76,12.31,26.5,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,1,4,16,16,0,100.0,18.49,10.04,24.23,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,1,6,16,16,0,100.0,16.23,7.76,21.95,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,1,8,16,16,0,100.0,13.96,5.48,19.67,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,1,10,16,16,0,100.0,11.7,3.21,17.4,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,1,12,16,16,0,100.0,9.43,0.93,15.12,1.23,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,1,15,16,15,1,93.75,6.03,-2.49,11.7,1.24,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
1,1,1,20,16,9,7,56.25,0.36,-8.18,6.01,1.3,"final decision combines mean benefit, robustness penalty, activation cost and speed policy"
