counts_code,n1,n2,n3,n4,total_tasks,scenario_type,method,seed_count,seeds_used,deadline_base,deadline_reference_cmax_2B,deadline_ratio,deadline_value,lambda_single,lambda_dual,rho_single,rho_dual,speed_min,speed_max,mode,feasible,opt_speed_single,opt_speed_dual,worst_energy_z,max_cmax_after_speed,worst_energy_seed,binding_time_seed,primal_min,dual_min,stationarity_s_single,stationarity_s_dual,stationarity_z,stationarity_norm,max_complementarity_error,active_constraints,active_time_seeds,active_energy_seeds,selected_multipliers,kkt_pass,kkt_note
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,1.0,2390.333333,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,1.027336,1.072984,12311.366365,2390.333136,1,1,0.0,0.0,-0.011875605,0.0086362653,0.9997843384,0.9998921634,3.22e-08,time_seed_1+energy_seed_1,1,1,energy_seed_1:0.000215662;time_seed_1:0.000162647,0,KKT residual is reported for numerical inspection
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,1.0,2390.333333,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,12737.480146,1795.072878,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_1,,1,energy_seed_1:1,1,KKT conditions numerically satisfied for robust SLP solution
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,1.05,2509.85,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.975345,1.024134,12244.98431,2509.85,1,1,-3.91e-08,0.0,-0.0203419881,0.0149519905,0.9993622348,0.9996810665,0.0,time_seed_1+energy_seed_1,1,1,energy_seed_1:0.000637765;time_seed_1:0.000242848,0,KKT residual is reported for numerical inspection
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,1.05,2509.85,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,12737.480146,1795.072878,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_1,,1,energy_seed_1:1,1,KKT conditions numerically satisfied for robust SLP solution
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,1.1,2629.366667,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.928232,0.979652,12218.765074,2629.340407,1,1,0.0,0.0,-0.1152450014,0.0855777876,0.9789520142,0.9894200393,3.99164e-05,time_seed_1+energy_seed_1,1,1,energy_seed_1:0.021048;time_seed_1:0.00152008,0,KKT residual is reported for numerical inspection
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,1.1,2629.366667,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,12737.480146,1795.072878,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_1,,1,energy_seed_1:1,1,KKT conditions numerically satisfied for robust SLP solution
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,1.15,2748.883333,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.91626,0.968729,12217.644085,2660.931561,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_1,,1,energy_seed_1:1,1,KKT conditions numerically satisfied for robust SLP solution
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,1.15,2748.883333,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,12737.480146,1795.072878,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_1,,1,energy_seed_1:1,1,KKT conditions numerically satisfied for robust SLP solution
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,1.2,2868.4,0.35,0.45,0.35,0.45,0.6,1.8,2B,1,0.91626,0.968729,12217.644085,2660.931561,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_1,,1,energy_seed_1:1,1,KKT conditions numerically satisfied for robust SLP solution
1112,1,1,1,2,5,type4_dominant,optimized,3,"0,1,2",mean_2b,2390.333333,1.2,2868.4,0.35,0.45,0.35,0.45,0.6,1.8,3B,1,0.91626,0.968729,12737.480146,1795.072878,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,energy_seed_1,,1,energy_seed_1:1,1,KKT conditions numerically satisfied for robust SLP solution
